DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Andorra,2019,76177,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Albania,2018,2870324,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Albania,2019,2862427,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Albania,2020,2845955,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Albania,2021,2829741,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Albania,2022,2793592,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Albania,2023,2761785,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Armenia,2018,2972732,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Armenia,2019,2965269,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Armenia,2020,2959694,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Armenia,2021,2963251,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Armenia,2023,2977130,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Austria,2018,8822267,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Austria,2019,8858775,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Austria,2020,8901064,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Austria,2021,8932664,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Austria,2022,8978929,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Austria,2023,9104772,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Azerbaijan,2018,9898085,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Azerbaijan,2019,9981457,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Azerbaijan,2020,10067108,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Azerbaijan,2021,10119133,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Azerbaijan,2022,10156366,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Azerbaijan,2023,10127145,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Belgium,2018,11398589,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Belgium,2019,11455519,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Belgium,2020,11522440,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Belgium,2021,11554767,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Belgium,2022,11617623,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Belgium,2023,11742796,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Bulgaria,2018,6757418,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Bulgaria,2019,6664177,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Bulgaria,2020,6569275,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Bulgaria,2021,6532117,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Bulgaria,2022,6482484,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Bulgaria,2023,6447710,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Belarus,2018,9491823,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Belarus,2019,9475174,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Switzerland,2018,8484130,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Switzerland,2019,8544527,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Switzerland,2020,8606033,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Switzerland,2021,8670300,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Switzerland,2022,8738791,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Switzerland,2023,8815385,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Cyprus,2018,878601,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Cyprus,2019,890194,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Cyprus,2020,902429,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Cyprus,2021,914476,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Cyprus,2022,929764,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Cyprus,2023,949084,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Czechia,2018,10610055,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Czechia,2019,10649800,,
